,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,0.889599657,0.172105358,0.00440073,0.00048998,relu,"(20, 10, 5)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (20, 10, 5)}",0.982,0.985,0.978,0.984,0.979,0.9816,0.002727636,1
28,0.792978621,0.152500976,0.00460124,0.000801683,relu,"(20, 15, 10)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (20, 15, 10)}",0.978,0.982,0.972,0.975,0.987,0.9788,0.005268776,2
25,0.745567274,0.041506105,0.004001284,0.000633013,relu,"(20, 15)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (20, 15)}",0.978,0.976,0.974,0.984,0.975,0.9774,0.003555278,3
26,0.813584614,0.199070799,0.004200029,0.000979852,relu,"(20, 10)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (20, 10)}",0.971,0.98,0.978,0.978,0.979,0.9772,0.003187475,4
22,0.648544979,0.049813788,0.003800106,0.000399686,relu,20,"{'model__activation': 'relu', 'model__hidden_layer_sizes': 20}",0.983,0.971,0.969,0.983,0.971,0.9754,0.0062482,5
17,0.962214613,0.153818437,0.006001139,0.001095932,tanh,"(20, 15, 10)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (20, 15, 10)}",0.978,0.977,0.975,0.981,0.964,0.975,0.005830952,6
14,1.020630741,0.231396654,0.004800701,0.000399904,tanh,"(20, 15)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (20, 15)}",0.975,0.983,0.959,0.981,0.975,0.9746,0.008428523,7
15,1.016029024,0.233059863,0.005399942,0.001357711,tanh,"(20, 10)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (20, 10)}",0.962,0.979,0.967,0.981,0.98,0.9738,0.007782031,8
19,1.050836849,0.316544254,0.005602169,0.00174263,tanh,"(15, 10, 5)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (15, 10, 5)}",0.986,0.951,0.978,0.98,0.973,0.9736,0.012043255,9
30,0.703956747,0.039253126,0.004399681,0.001020432,relu,"(15, 10, 5)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (15, 10, 5)}",0.976,0.974,0.969,0.971,0.97,0.972,0.002607681,10
27,0.698957539,0.254477968,0.003801298,0.000748508,relu,"(15, 10)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (15, 10)}",0.971,0.964,0.978,0.989,0.957,0.9718,0.011088733,11
20,0.929010153,0.135902243,0.006799603,0.001832648,tanh,"(20, 15, 7, 3)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (20, 15, 7, 3)}",0.974,0.973,0.973,0.972,0.966,0.9716,0.00287054,12
21,1.021431446,0.37829021,0.004600096,0.001019151,tanh,"(15, 10, 5, 3)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (15, 10, 5, 3)}",0.983,0.978,0.957,0.98,0.94,0.9676,0.016572266,13
23,0.541722107,0.109157397,0.004000568,0.000894256,relu,15,"{'model__activation': 'relu', 'model__hidden_layer_sizes': 15}",0.973,0.965,0.959,0.969,0.966,0.9664,0.004630335,14
18,0.944013166,0.263911637,0.004800415,0.000748737,tanh,"(20, 10, 5)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (20, 10, 5)}",0.977,0.925,0.972,0.981,0.972,0.9654,0.020480234,15
16,0.702956915,0.156087618,0.004600286,0.000800133,tanh,"(15, 10)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (15, 10)}",0.974,0.949,0.966,0.976,0.953,0.9636,0.010892199,16
12,0.816984797,0.188964697,0.003600025,0.000489707,tanh,15,"{'model__activation': 'tanh', 'model__hidden_layer_sizes': 15}",0.967,0.955,0.958,0.976,0.958,0.9628,0.007730459,17
11,0.62693944,0.156953258,0.003400421,0.000489999,tanh,20,"{'model__activation': 'tanh', 'model__hidden_layer_sizes': 20}",0.972,0.956,0.956,0.969,0.954,0.9614,0.007525955,18
24,0.476906157,0.153685671,0.004400206,0.000489143,relu,10,"{'model__activation': 'relu', 'model__hidden_layer_sizes': 10}",0.947,0.957,0.969,0.966,0.959,0.9596,0.007683749,19
3,1.097247171,0.140225889,0.005201149,0.001165885,logistic,"(20, 15)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (20, 15)}",0.946,0.965,0.946,0.961,0.949,0.9534,0.008014986,20
13,0.554525042,0.089078018,0.004400635,0.000799942,tanh,10,"{'model__activation': 'tanh', 'model__hidden_layer_sizes': 10}",0.95,0.941,0.949,0.963,0.962,0.953,0.0083666,21
6,1.179464579,0.432570293,0.004601383,0.000800503,logistic,"(20, 15, 10)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (20, 15, 10)}",0.944,0.966,0.943,0.964,0.939,0.9512,0.011408769,22
4,1.004824972,0.40210511,0.005000544,0.000895109,logistic,"(20, 10)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (20, 10)}",0.921,0.957,0.938,0.967,0.946,0.9458,0.015816447,23
9,1.114249992,0.314219462,0.006801748,0.002136454,logistic,"(20, 15, 7, 3)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (20, 15, 7, 3)}",0.949,0.91,0.946,0.955,0.938,0.9396,0.015781001,24
5,0.709960651,0.334007487,0.004600716,0.000801361,logistic,"(15, 10)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (15, 10)}",0.924,0.954,0.938,0.928,0.935,0.9358,0.010361467,25
0,0.564926624,0.260895093,0.004800606,0.000747454,logistic,20,"{'model__activation': 'logistic', 'model__hidden_layer_sizes': 20}",0.945,0.915,0.928,0.927,0.93,0.929,0.009570789,26
1,0.496911478,0.196054518,0.004601765,0.00049012,logistic,15,"{'model__activation': 'logistic', 'model__hidden_layer_sizes': 15}",0.93,0.924,0.913,0.948,0.928,0.9286,0.011341958,27
2,0.412893581,0.202510831,0.003599644,0.000489302,logistic,10,"{'model__activation': 'logistic', 'model__hidden_layer_sizes': 10}",0.902,0.906,0.941,0.918,0.935,0.9204,0.015422062,28
31,0.823984766,0.355687281,0.004801083,0.000400449,relu,"(20, 15, 7, 3)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (20, 15, 7, 3)}",0.977,0.978,0.979,0.5,0.976,0.882,0.191002618,29
32,0.879198074,0.360128366,0.003600264,0.000799966,relu,"(15, 10, 5, 3)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (15, 10, 5, 3)}",0.975,0.983,0.965,0.5,0.982,0.881,0.190608499,30
10,0.904403496,0.332284534,0.004399824,0.000799038,logistic,"(15, 10, 5, 3)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (15, 10, 5, 3)}",0.93,0.5,0.946,0.954,0.943,0.8546,0.17746842,31
8,0.619938326,0.23170252,0.00439992,0.000490353,logistic,"(15, 10, 5)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (15, 10, 5)}",0.5,0.943,0.927,0.929,0.941,0.848,0.174114905,32
7,0.768768644,0.43277578,0.004401922,0.000800014,logistic,"(20, 10, 5)","{'model__activation': 'logistic', 'model__hidden_layer_sizes': (20, 10, 5)}",0.939,0.5,0.95,0.5,0.944,0.7666,0.217705857,33
